Zip_Code,Latitude,Longitude
28001,40.424549,-3.68419
28002,40.449268,-3.67406
28003,40.443001,-3.69812
28004,40.424759,-3.6941
28005,40.40472,-3.71615
28006,40.444431,-3.68669
28007,40.400589,-3.67156
28008,40.429798,-3.71886
28009,40.41444,-3.68418
28010,40.433,-3.70012
28011,40.422,-3.75851
28012,40.40747,-3.69313
28013,40.416729,-3.71331
28014,40.41669,-3.70034
28015,40.435532,-3.71607
28016,40.45525,-3.67657
28017,40.43137,-3.65931
28018,40.38374,-3.64257
28019,40.38706,-3.72307
28020,40.44716,-3.70363
28021,40.3416,-3.68747
28022,40.44716,-3.61706
28023,40.47218,-3.78089
28024,40.38048,-3.79436
28025,40.38572,-3.73836
28026,40.37959,-3.70679
28027,40.44214,-3.65403
28028,40.4247,-3.66389
28029,40.47131,-3.69461
28030,40.4073,3.6395
28031,40.417,-3.703
28032,40.4108,-3.6066
28033,40.4729,-3.6547
28034,40.4998,-3.6877
28035,40.4782,-3.7283
28036,40.4618,-3.6851
28037,40.4332,-3.6243
28038,40.3966,-3.6547
28039,40.461,-3.7105
28040,40.4474,-3.7384
28041,40.3672,-3.6978
28042,40.4679,-3.5711
28043,40.4604,-3.6471
28044,40.3776,-3.7714
28045,40.3955,-3.6902
28046,40.4732,-3.6864
28047,40.3961,-3.7486
28048,40.5323,-3.7842
28049,40.5251,-3.6928
28050,40.5005,-3.6674
28051,40.3445,-3.6116
28052,40.4022,-3.556
28053,40.3682,-3.6674
28054,40.3628,-3.7562
28055,40.487,-3.6116
28070,41.0743,-3.5914
28071,40.4265,-3.6916